
PortDescription, PortGroup, Alias, ProtectPort, PS, InPortPower, CircuitID, Connection Name 
1.1.1,,,,NPR,-90.00,="",
1.1.2,,,,NPR,-90.00,="",
1.1.3,,,,NPR,-90.00,="",
1.1.4,,FEE_WAVE8,,NPR,-90.00,="",
1.1.5,,FEE_PIRANHA4,,NPR,-90.00,="",
1.1.6,,,,NPR,-90.00,="",
1.1.7,,TMO_CAMLINK_ATM,,NPR,-4.00,="1.1.7-5.1.2",1.1.7-5.1.2
1.1.8,,RIX_FIM_MR4K2,,NPR,-7.32,="1.1.8-5.2.4",RIX_FIM_MR4K2-DRP-SRCF-CMP004-QSFP1_1
1.2.1,,TMO_HSD_11,,NPR,-3.39,="1.2.1-4.8.2",1.2.1-4.8.2
1.2.2,,TMO_HSD_10,,NPR,3.60,="1.2.2-4.8.1",1.2.2-4.8.1
1.2.3,,,,NPR,-90.00,="",
1.2.4,,TMO_WAVE8_IP2,,NPR,-6.18,="1.2.4-4.2.8",TMO_WAVE8_IP2-DRP-SRCF-CMP051-QSFP1_3
1.2.5,,RIX_FIM_MR3K2,,NPR,-4.58,="1.2.5-5.6.5",1.2.5-5.6.5
1.2.6,,RIX_FIM_CHEMRIX,,NPR,-6.06,="1.2.6-5.6.1",1.2.6-5.6.1
1.2.7,,TMO_FIM_MR3K4,,NPR,-4.79,="5.2.3-1.2.7",5.2.3-1.2.7
1.2.8,,TMO_FIM_MR2K4,,NPR,-4.45,="5.6.6-1.2.8",5.6.6-1.2.8
1.3.1,,RIX_HSD2,,NPR,4.47,="1.3.1-5.7.1",1.3.1-5.7.1
1.3.2,,RIX_HSD3,,NPR,4.24,="1.3.2-5.7.2",1.3.2-5.7.2
1.3.3,,XPM-6_AMC-0_SFP-6,,NPR,-2.39,="1.3.3-5.4.4",1.3.3-5.4.4
1.3.4,,XPM-6_AMC-0_SFP-5,,NPR,-1.14,="1.3.4-4.8.8",1.3.4-4.8.8
1.3.5,,TMO_PIRANHA_ATM,,NPR,-2.18,="5.4.7-1.3.5",5.4.7-1.3.5
1.3.6,,TMO_CAMLINK_OPAL2,,NPR,-2.84,="5.4.3-1.3.6",5.4.3-1.3.6
1.3.7,,XPM-5_AMC-0_SFP-6,,NPR,-2.08,="5.6.7-1.3.7",5.6.7-1.3.7
1.3.8,,XPM-5_AMC-0_SFP-5,,NPR,-2.25,="1.3.8-5.2.1",1.3.8-5.2.1
1.4.1,,,,NPR,-90.00,="",
1.4.2,,RIX_CAMLINK_ATM,,NPR,-5.23,="1.4.2-5.1.6",1.4.2-5.1.6
1.4.3,,TMO_HSD_5,,NPR,5.37,="1.4.3-4.4.7",TMO_HSD_5-DRP-SRCF-CMP018-QSFP1-3
1.4.4,,TMO_HSD_4,,NPR,4.13,="1.4.4-5.3.7",TMO_HSD_4-DRP-SRCF-CMP019-QSFP0
1.4.5,,TMO_HSD_3,,NPR,2.89,="1.4.5-5.3.3",1.4.5-5.3.3
1.4.6,,TMO_HSD_14,,NPR,5.22,="1.4.6-5.3.4",1.4.6-5.3.4
1.4.7,,TMO_HSD_7,,NPR,-3.79,="1.4.7-4.4.8",TMO_HSD_7-DRP-SRCF-CMP018-QSFP0-4
1.4.8,,TMO_HSD_13,,NPR,5.24,="1.4.8-5.3.8",TMO_HSD_13-DRP-SRCF-CMP019-QSFP1
