
PortDescription, PortGroup, Alias, ProtectPort, PS, InPortPower, CircuitID, Connection Name 
1.1.1,,XPM-0_AMC-0_LINK-6,,NPR,-4.76,="1.1.1-6.1.1",1.1.1-6.1.1
1.1.2,,XPM-0_AMC-0_LINK-4,,NPR,-4.59,="1.1.2-6.1.2",1.1.2-6.1.2
1.1.3,,XPM-0_AMC-0_LINK-5,,NPR,-4.85,="1.1.3-6.1.3",1.1.3-6.1.3
1.1.4,,,,NPR,-90.00,="",
1.1.5,,FEB_PIRANHA,,NPR,-5.06,="1.1.5-5.4.8",1.1.5-5.4.8
1.1.6,,XPM-0_AMC-0_LINK-1,,NPR,-4.44,="1.1.6-5.4.4",1.1.6-5.4.4
1.1.7,,,,NPR,-90.00,="",
1.1.8,,,,NPR,-90.00,="",
1.2.1,,HSD-1_DA-A,,NPR,4.92,="1.2.1-5.7.1",1.2.1-5.7.1
1.2.2,,HSD-1_DA-B,,NPR,3.85,="1.2.2-5.7.2",1.2.2-5.7.2
1.2.3,,,,NPR,-90.00,="",
1.2.4,,,,NPR,-90.00,="",
1.2.5,,,,NPR,-90.00,="",
1.2.6,,,,NPR,-90.00,="",
1.2.7,,,,NPR,-90.00,="",
1.2.8,,,,NPR,-90.00,="",
1.3.1,,,,NPR,-90.00,="",
1.3.2,,,,NPR,-90.00,="",
1.3.3,,,,NPR,-90.00,="",
1.3.4,,,,NPR,-90.00,="",
1.3.5,,,,NPR,-90.00,="",
1.3.6,,,,NPR,-90.00,="",
1.3.7,,,,NPR,-90.00,="",
1.3.8,,,,NPR,-90.00,="",
1.4.1,,,,NPR,-90.00,="",
1.4.2,,,,NPR,-90.00,="",
1.4.3,,,,NPR,-90.00,="",
1.4.4,,,,NPR,-90.00,="",
1.4.5,,,,NPR,-90.00,="",
1.4.6,,,,NPR,-90.00,="",
1.4.7,,,,NPR,-90.00,="",
1.4.8,,,,NPR,-90.00,="",
1.5.1,,,,NPR,-90.00,="",
1.5.2,,,,NPR,-90.00,="",
1.5.3,,,,NPR,-90.00,="",
1.5.4,,,,NPR,-90.00,="",
1.5.5,,,,NPR,-90.00,="",
1.5.6,,,,NPR,-90.00,="",
1.5.7,,,,NPR,-90.00,="",
1.5.8,,,,NPR,-90.00,="",
1.6.1,,,,NPR,-90.00,="",
1.6.2,,,,NPR,-90.00,="",
1.6.3,,,,NPR,-90.00,="",
1.6.4,,,,NPR,-90.00,="",
1.6.5,,,,NPR,-90.00,="",
1.6.6,,,,NPR,-90.00,="",
1.6.7,,,,NPR,-90.00,="",
1.6.8,,,,NPR,-90.00,="",
1.7.1,,,,NPR,-90.00,="",
1.7.2,,,,NPR,-90.00,="",
1.7.3,,,,NPR,-90.00,="",
1.7.4,,,,NPR,-90.00,="",
1.7.5,,,,NPR,-90.00,="",
1.7.6,,,,NPR,-90.00,="",
1.7.7,,,,NPR,-90.00,="",
1.7.8,,,,NPR,-90.00,="",
1.8.1,,,,NPR,-90.00,="",
1.8.2,,,,NPR,-90.00,="",
1.8.3,,,,NPR,-90.00,="",
1.8.4,,,,NPR,-90.00,="",
